,1950,,,1951,,,1952,,,1953,,,1954,,,1955,,,1956,,,1957,,,1958,,,1959,,,1960,,,1961,,,1962,,,1963,,,1964,,,1965,,,1966,,,1967,,,1968,,,1969,,,1970,,,1971,,,1972,,,1973,,,1974,,,1975,,,1976,,,1977,,,1978,,,1979,,,1980,,,1981,,,1982,,,1983,,,1984,,,1985,,,1986,,,1987,,,1988,,,1989,,,1990,,,1991,,,1992,,,1993,,,1994,,,1995,,,1996,,,1997,,,1998,,,1999,,,2000,,,2001,,,2002,,
Country,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,11.3,14
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.49,35.32,40.81,6.3,37.78,44.08,4.01,32.58,36.59,,,,,,,5.12,27.77,32.89,4.79,25.43,30.22,5.09,21.83,26.92,5.79,33.68,39.47,7.8,35.57,43.37,7.62,35.98,43.6,7.84,34.84,42.68,7.38,34.67,42.05,6.4,31.48,37.88,5.88,27.91,33.79,8.1,29.44,37.54
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,16.4,18.4
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,7,8.3
Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.17,41.07,46.24,5.56,47.2,52.76,6.7,48.19,54.89,6.32,48.67,54.99,5.94,46.7,52.64,,,,,,,,,,,,,,,,,,,5.54,43.79,49.33,5.55,44.01,49.56,5.28,43.09,48.37,5.21,42.9,48.11,5.38,44.55,49.93,5.51,40.52,46.03,5.51,42.38,47.89,5.84,41.26,47.1,5.35,40.63,45.98,5.26,39.5,44.76,5.34,41.39,46.73,5.88,40.09,45.97,5.83,39.64,45.47,5.83,38.03,43.86,6.26,39.35,45.61,6.2,38.01,44.21,6.38,37.77,44.15,6.42,37.88,44.3,6.29,36.8,43.09,6.46,36.97,43.43,6.5,36,42.5,7.09,35.99,43.08,7.05,36.12,43.17,6.73,34.74,41.47,6.95,32.92,39.87,7.08,31.87,38.95
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.09,33.01,37.1,4.9,32.88,37.78,,,,,,,5.56,37.62,43.18,6.23,36.7,42.93,5.42,35.42,40.84,6.04,42.55,48.59,5.89,40.83,46.72,6.38,45.98,52.36,5.66,48.04,53.7,7.1,44.8,51.9,6.55,41.34,47.89,5.75,37.81,43.56,4.49,39.8,44.29,4.55,41.01,45.56,4.83,43.91,48.74,5.58,41.45,47.03,5.28,45.09,50.37,6.39,45.54,51.93,6.2,46.71,52.91,5.96,45.62,51.58
Australia,2.78,13.83,16.61,2.98,14.91,17.89,2.98,17.29,20.27,3.73,18.27,22,2.98,19.13,22.11,2.96,20.7,23.66,3.47,22.12,25.59,3.2,24.06,27.26,3.24,23.91,27.15,3.31,26.27,29.58,3.44,27.19,30.63,3.58,29.81,33.39,3.83,31.77,35.6,3.86,32.78,36.64,4.28,34.74,39.02,4.19,35.1,39.29,4.46,37.4,41.86,5.09,38.72,43.81,5.04,39.97,45.01,4.96,41.26,46.22,6.42,42.12,48.54,6.76,43.61,50.37,6.37,43.99,50.36,7.05,44.92,51.97,6.83,47.21,54.04,7.22,47.37,54.59,7.97,48.5,56.47,9.08,46.96,56.04,9.09,47.16,56.25,9.42,47.38,56.8,9.7,49.45,59.15,9.56,49.09,58.65,10.56,49.15,59.71,11.44,48.59,60.03,11.32,48.56,59.88,11.5,47.98,59.48,11.99,45.99,57.98,11.41,46.27,57.68,12.86,45.68,58.54,13.21,45.55,58.76,12.72,41.64,54.36,13.6,41.18,54.78,12.88,41.17,54.05,13.33,38.96,52.29,13.6,40.36,53.96,13.58,37.4,50.98,13.73,37.2,50.93,13.66,35.21,48.87,13.12,34.87,47.99,13.1,33.19,46.29,13.87,31.76,45.63,13.9,31.29,45.19,14.31,30.4,44.71
Austria,,,,,,,,,,,,,,,,5.07,43.01,48.08,6.31,45.84,52.15,6.14,47.55,53.69,6.45,47.69,54.14,6.35,47.51,53.86,5.31,49.86,55.17,5.61,51.26,56.87,6.14,49.25,55.39,5.98,52.01,57.99,5.74,48.87,54.61,5.9,52.46,58.36,6.29,51.25,57.54,6.11,51.51,57.62,6.46,53.14,59.6,6.23,51.51,57.74,5.77,50.46,56.23,6.61,50.05,56.66,6.34,51.47,57.81,6.5,52.2,58.7,6.88,50.77,57.65,6.84,50.8,57.64,6.58,50.42,57,6.63,50.73,57.36,6.94,48.69,55.63,7.02,50.59,57.61,7.25,49.91,57.16,7.36,48.43,55.79,8.18,47,55.18,7.87,48.28,56.15,8.83,50.06,58.89,7.94,47.46,55.4,8.16,46.94,55.1,9.14,46.44,55.58,9.35,45.6,54.95,8.55,45.74,54.29,8.72,45.46,54.18,9.64,45.8,55.44,9.35,43.75,53.1,9.58,45.23,54.81,10.23,41.7,51.93,9.61,40.8,50.41,10.43,40.81,51.24,10.81,39.37,50.18,10.75,39.48,50.23,10.87,37.2,48.07,11.54,36.41,47.95,10.67,35.15,45.82,11.77,35.92,47.69
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,35.62,40.12,5.48,34.63,40.11,,,,,,,4.41,32.43,36.84,4.86,36.57,41.43,5.64,38.51,44.15,5.51,35.65,41.16,4.83,32.97,37.8,4.52,26.42,30.94,4.87,28.04,32.91,4.94,29.27,34.21,4.42,26.13,30.55,4.62,22.4,27.02,3.34,21.25,24.59,3.86,22.2,26.06,3.87,22.35,26.22,3.45,20.44,23.89,3.96,21.34,25.3,3.83,20.24,24.07,4.05,21.35,25.4,4.63,21.83,26.46
