Country,Code,Year,Female,Male,Total
Afghanistan,AFG,2002,2.7,11.3,14
Albania,ALB,1987,5.49,35.32,40.81
Albania,ALB,1988,6.3,37.78,44.08
Albania,ALB,1989,4.01,32.58,36.59
Albania,ALB,1992,5.12,27.77,32.89
Albania,ALB,1993,4.79,25.43,30.22
Albania,ALB,1994,5.09,21.83,26.92
Albania,ALB,1995,5.79,33.68,39.47
Albania,ALB,1996,7.8,35.57,43.37
Albania,ALB,1997,7.62,35.98,43.6
Albania,ALB,1998,7.84,34.84,42.68
Albania,ALB,1999,7.38,34.67,42.05
Albania,ALB,2000,6.4,31.48,37.88
Albania,ALB,2001,5.88,27.91,33.79
Albania,ALB,2002,8.1,29.44,37.54
Algeria,DZA,2002,2,16.4,18.4
Angola,AGO,2002,1.3,7,8.3
Argentina,ARG,1966,5.17,41.07,46.24
Argentina,ARG,1967,5.56,47.2,52.76
Argentina,ARG,1968,6.7,48.19,54.89
Argentina,ARG,1969,6.32,48.67,54.99
Argentina,ARG,1970,5.94,46.7,52.64
Argentina,ARG,1977,5.54,43.79,49.33
Argentina,ARG,1978,5.55,44.01,49.56
Argentina,ARG,1979,5.28,43.09,48.37
Argentina,ARG,1980,5.21,42.9,48.11
Argentina,ARG,1981,5.38,44.55,49.93
Argentina,ARG,1982,5.51,40.52,46.03
Argentina,ARG,1983,5.51,42.38,47.89
Argentina,ARG,1984,5.84,41.26,47.1
Argentina,ARG,1985,5.35,40.63,45.98
Argentina,ARG,1986,5.26,39.5,44.76
Argentina,ARG,1987,5.34,41.39,46.73
Argentina,ARG,1988,5.88,40.09,45.97
Argentina,ARG,1989,5.83,39.64,45.47
Argentina,ARG,1990,5.83,38.03,43.86
Argentina,ARG,1991,6.26,39.35,45.61
Argentina,ARG,1992,6.2,38.01,44.21
Argentina,ARG,1993,6.38,37.77,44.15
Argentina,ARG,1994,6.42,37.88,44.3
Argentina,ARG,1995,6.29,36.8,43.09
Argentina,ARG,1996,6.46,36.97,43.43
Argentina,ARG,1997,6.5,36,42.5
Argentina,ARG,1998,7.09,35.99,43.08
Argentina,ARG,1999,7.05,36.12,43.17
Argentina,ARG,2000,6.73,34.74,41.47
Argentina,ARG,2001,6.95,32.92,39.87
Argentina,ARG,2002,7.08,31.87,38.95
Armenia,ARM,1981,4.09,33.01,37.1
Armenia,ARM,1982,4.9,32.88,37.78
Armenia,ARM,1985,5.56,37.62,43.18
Armenia,ARM,1986,6.23,36.7,42.93
Armenia,ARM,1987,5.42,35.42,40.84
Armenia,ARM,1988,6.04,42.55,48.59
Armenia,ARM,1989,5.89,40.83,46.72
Armenia,ARM,1990,6.38,45.98,52.36
Armenia,ARM,1991,5.66,48.04,53.7
Armenia,ARM,1992,7.1,44.8,51.9
Armenia,ARM,1993,6.55,41.34,47.89
Armenia,ARM,1994,5.75,37.81,43.56
Armenia,ARM,1995,4.49,39.8,44.29
Armenia,ARM,1996,4.55,41.01,45.56
Armenia,ARM,1997,4.83,43.91,48.74
Armenia,ARM,1998,5.58,41.45,47.03
Armenia,ARM,1999,5.28,45.09,50.37
Armenia,ARM,2000,6.39,45.54,51.93
Armenia,ARM,2001,6.2,46.71,52.91
Armenia,ARM,2002,5.96,45.62,51.58
Australia,AUS,1950,2.78,13.83,16.61
Australia,AUS,1951,2.98,14.91,17.89
Australia,AUS,1952,2.98,17.29,20.27
Australia,AUS,1953,3.73,18.27,22
Australia,AUS,1954,2.98,19.13,22.11
Australia,AUS,1955,2.96,20.7,23.66
Australia,AUS,1956,3.47,22.12,25.59
Australia,AUS,1957,3.2,24.06,27.26
Australia,AUS,1958,3.24,23.91,27.15
Australia,AUS,1959,3.31,26.27,29.58
Australia,AUS,1960,3.44,27.19,30.63
Australia,AUS,1961,3.58,29.81,33.39
Australia,AUS,1962,3.83,31.77,35.6
Australia,AUS,1963,3.86,32.78,36.64
Australia,AUS,1964,4.28,34.74,39.02
Australia,AUS,1965,4.19,35.1,39.29
Australia,AUS,1966,4.46,37.4,41.86
Australia,AUS,1967,5.09,38.72,43.81
Australia,AUS,1968,5.04,39.97,45.01
Australia,AUS,1969,4.96,41.26,46.22
Australia,AUS,1970,6.42,42.12,48.54
Australia,AUS,1971,6.76,43.61,50.37
Australia,AUS,1972,6.37,43.99,50.36
Australia,AUS,1973,7.05,44.92,51.97
Australia,AUS,1974,6.83,47.21,54.04
Australia,AUS,1975,7.22,47.37,54.59
Australia,AUS,1976,7.97,48.5,56.47
Australia,AUS,1977,9.08,46.96,56.04
Australia,AUS,1978,9.09,47.16,56.25
Australia,AUS,1979,9.42,47.38,56.8
Australia,AUS,1980,9.7,49.45,59.15
Australia,AUS,1981,9.56,49.09,58.65
Australia,AUS,1982,10.56,49.15,59.71
Australia,AUS,1983,11.44,48.59,60.03
Australia,AUS,1984,11.32,48.56,59.88
Australia,AUS,1985,11.5,47.98,59.48
Australia,AUS,1986,11.99,45.99,57.98
Australia,AUS,1987,11.41,46.27,57.68
Australia,AUS,1988,12.86,45.68,58.54
Australia,AUS,1989,13.21,45.55,58.76
Australia,AUS,1990,12.72,41.64,54.36
Australia,AUS,1991,13.6,41.18,54.78
Australia,AUS,1992,12.88,41.17,54.05
Australia,AUS,1993,13.33,38.96,52.29
Australia,AUS,1994,13.6,40.36,53.96
Australia,AUS,1995,13.58,37.4,50.98
Australia,AUS,1996,13.73,37.2,50.93
Australia,AUS,1997,13.66,35.21,48.87
Australia,AUS,1998,13.12,34.87,47.99
Australia,AUS,1999,13.1,33.19,46.29
Australia,AUS,2000,13.87,31.76,45.63
Australia,AUS,2001,13.9,31.29,45.19
Australia,AUS,2002,14.31,30.4,44.71
Austria,AUT,1955,5.07,43.01,48.08
Austria,AUT,1956,6.31,45.84,52.15
Austria,AUT,1957,6.14,47.55,53.69
Austria,AUT,1958,6.45,47.69,54.14
Austria,AUT,1959,6.35,47.51,53.86
Austria,AUT,1960,5.31,49.86,55.17
Austria,AUT,1961,5.61,51.26,56.87
Austria,AUT,1962,6.14,49.25,55.39
Austria,AUT,1963,5.98,52.01,57.99
Austria,AUT,1964,5.74,48.87,54.61
Austria,AUT,1965,5.9,52.46,58.36
Austria,AUT,1966,6.29,51.25,57.54
Austria,AUT,1967,6.11,51.51,57.62
Austria,AUT,1968,6.46,53.14,59.6
Austria,AUT,1969,6.23,51.51,57.74
Austria,AUT,1970,5.77,50.46,56.23
Austria,AUT,1971,6.61,50.05,56.66
Austria,AUT,1972,6.34,51.47,57.81
Austria,AUT,1973,6.5,52.2,58.7
Austria,AUT,1974,6.88,50.77,57.65
Austria,AUT,1975,6.84,50.8,57.64
Austria,AUT,1976,6.58,50.42,57
Austria,AUT,1977,6.63,50.73,57.36
Austria,AUT,1978,6.94,48.69,55.63
Austria,AUT,1979,7.02,50.59,57.61
Austria,AUT,1980,7.25,49.91,57.16
Austria,AUT,1981,7.36,48.43,55.79
