Country,Year,Female,Male
Afghanistan,2002,2.7,11.3
Albania,1987,5.49,35.32
Albania,1988,6.3,37.78
Albania,1989,4.01,32.58
Albania,1992,5.12,27.77
Albania,1993,4.79,25.43
Albania,1994,5.09,21.83
Albania,1995,5.79,33.68
Albania,1996,7.8,35.57
Albania,1997,7.62,35.98
Albania,1998,7.84,34.84
Albania,1999,7.38,34.67
Albania,2000,6.4,31.48
Albania,2001,5.88,27.91
Albania,2002,8.1,29.44
Algeria,2002,2,16.4
Angola,2002,1.3,7
Argentina,1966,5.17,41.07
Argentina,1967,5.56,47.2
Argentina,1968,6.7,48.19
Argentina,1969,6.32,48.67
Argentina,1970,5.94,46.7
Argentina,1977,5.54,43.79
Argentina,1978,5.55,44.01
Argentina,1979,5.28,43.09
Argentina,1980,5.21,42.9
Argentina,1981,5.38,44.55
Argentina,1982,5.51,40.52
Argentina,1983,5.51,42.38
Argentina,1984,5.84,41.26
Argentina,1985,5.35,40.63
Argentina,1986,5.26,39.5
Argentina,1987,5.34,41.39
Argentina,1988,5.88,40.09
Argentina,1989,5.83,39.64
Argentina,1990,5.83,38.03
Argentina,1991,6.26,39.35
Argentina,1992,6.2,38.01
Argentina,1993,6.38,37.77
Argentina,1994,6.42,37.88
Argentina,1995,6.29,36.8
Argentina,1996,6.46,36.97
Argentina,1997,6.5,36
Argentina,1998,7.09,35.99
Argentina,1999,7.05,36.12
Argentina,2000,6.73,34.74
Argentina,2001,6.95,32.92
Argentina,2002,7.08,31.87
Armenia,1981,4.09,33.01
Armenia,1982,4.9,32.88
Armenia,1985,5.56,37.62
Armenia,1986,6.23,36.7
Armenia,1987,5.42,35.42
Armenia,1988,6.04,42.55
Armenia,1989,5.89,40.83
Armenia,1990,6.38,45.98
Armenia,1991,5.66,48.04
Armenia,1992,7.1,44.8
Armenia,1993,6.55,41.34
Armenia,1994,5.75,37.81
Armenia,1995,4.49,39.8
Armenia,1996,4.55,41.01
Armenia,1997,4.83,43.91
Armenia,1998,5.58,41.45
Armenia,1999,5.28,45.09
Armenia,2000,6.39,45.54
Armenia,2001,6.2,46.71
Armenia,2002,5.96,45.62
Australia,1950,2.78,13.83
Australia,1951,2.98,14.91
Australia,1952,2.98,17.29
Australia,1953,3.73,18.27
Australia,1954,2.98,19.13
Australia,1955,2.96,20.7
Australia,1956,3.47,22.12
Australia,1957,3.2,24.06
